PlayerName,TeamAbbr,JerseyNumber,Position,persistence,persistence_steps,last_digit_of_persistence_list
Kobe Bufkin,MEM,44,Guard,2,"[44, 16, 6]",6
Jalen Smith,CHI,25,Forward-Center,2,"[25, 10, 0]",0
Vít Krejčí,ATL,27,Guard,2,"[27, 14, 4]",4
Jordan Walsh,BOS,27,Guard,2,"[27, 14, 4]",4
Isaiah Crawford,HOU,27,Forward,2,"[27, 14, 4]",4
Rudy Gobert,MIN,27,Center,2,"[27, 14, 4]",4
Hugo González,BOS,28,Guard,2,"[28, 16, 6]",6
Luka Garza,BOS,52,Center,2,"[52, 10, 0]",0
Isaac Okoro,CHI,35,Forward-Guard,2,"[35, 15, 5]",5
Max Shulga,BOS,44,Guard,2,"[44, 16, 6]",6
KJ Simpson,CHA,25,Guard,2,"[25, 10, 0]",0
Oscar Tshiebwe,UTA,34,Forward-Center,2,"[34, 12, 2]",2
Rui Hachimura,LAL,28,Forward,2,"[28, 16, 6]",6
Brice Sensabaugh,UTA,28,Forward,2,"[28, 16, 6]",6
Will Riley,WAS,27,Forward,2,"[27, 14, 4]",4
Xavier Tillman,BOS,26,Forward,2,"[26, 12, 2]",2
Cam Thomas,BKN,24,Guard,1,"[24, 8]",8
AJ Green,MIL,20,Guard,1,"[20, 0]",0
Jordan Goodwin,PHX,23,Guard,1,"[23, 6]",6
Jock Landale,MEM,31,Center,1,"[31, 3]",3
Jabari Walker,PHI,33,Forward,1,"[33, 9]",9
Keshad Johnson,MIA,16,Forward,1,"[16, 6]",6
Adem Bona,PHI,30,Forward,1,"[30, 0]",0
Noah Clowney,BKN,21,Forward-Center,1,"[21, 2]",2
Jalen Wilson,BKN,22,Forward,1,"[22, 4]",4
Jaime Jaquez Jr.,MIA,11,Guard,1,"[11, 1]",1
Bam Adebayo,MIA,13,Center-Forward,1,"[13, 3]",3
Myron Gardner,MIA,15,Forward,1,"[15, 5]",5
Day'Ron Sharpe,BKN,20,Center,1,"[20, 0]",0
Rasheer Fleming,PHX,20,Forward,1,"[20, 0]",0
Isaiah Livers,PHX,18,Forward,1,"[18, 8]",8
Norman Powell,MIA,24,Guard,1,"[24, 8]",8
Mark Williams,PHX,15,Center,1,"[15, 5]",5
Vladislav Goldin,MIA,50,Center,1,"[50, 0]",0
Jamaree Bouyea,PHX,15,Guard,1,"[15, 5]",5
Gary Harris,MIL,11,Guard,1,"[11, 1]",1
Taurean Prince,MIL,12,Forward,1,"[12, 2]",2
Ryan Rollins,MIL,13,Guard,1,"[13, 3]",3
