PlayerName,TeamAbbr,JerseyNumber,Position,persistence,persistence_steps,last_digit_of_persistence_list
Egor Dëmin,BKN,8,Guard,0,[8],8
Nickeil Alexander-Walker,ATL,7,Guard,0,[7],7
Drake Powell,BKN,4,Guard-Forward,0,[4],4
Luke Kennard,ATL,3,Guard,0,[3],3
Terrence Shannon Jr.,MIN,1,Guard-Forward,0,[1],1
Miles Bridges,CHA,0,Forward,0,[0],0
Pacôme Dadiet,NYK,4,Forward,0,[4],4
Donte DiVincenzo,MIN,0,Guard,0,[0],0
Danny Wolf,BKN,2,Forward,0,[2],2
Joe Ingles,MIN,7,Forward-Guard,0,[7],7
Jordan Clarkson,NYK,0,Guard,0,[0],0
Kristaps Porziņģis,ATL,8,Forward-Center,0,[8],8
Rob Dillingham,MIN,4,Guard,0,[4],4
Josh Hart,NYK,3,Guard,0,[3],3
Tyrese Haliburton,IND,0,Guard,0,[0],0
Lonzo Ball,CLE,2,Guard,0,[2],2
Drew Peterson,CHA,9,Forward,0,[9],9
Paolo Banchero,ORL,5,Forward,0,[5],5
Collin Sexton,CHA,8,Guard,0,[8],8
Jalen Suggs,ORL,4,Guard,0,[4],4
Max Strus,CLE,1,Guard-Forward,0,[1],1
Dalen Terry,CHI,7,Forward,0,[7],7
Emanuel Miller,CHI,2,Forward,0,[2],2
Grant Williams,CHA,2,Forward,0,[2],2
Coby White,CHI,0,Guard,0,[0],0
Trentyn Flowers,CHI,0,Forward,0,[0],0
Kon Knueppel,CHA,7,Guard-Forward,0,[7],7
Kris Dunn,LAC,8,Guard,0,[8],8
Myles Turner,MIL,3,Center-Forward,0,[3],3
Johnny Juzang,MIN,9,Guard,0,[9],9
Orlando Robinson,ORL,7,Center,0,[7],7
Miles McBride,NYK,2,Guard,0,[2],2
DeAndre Jordan,NOP,9,Center,0,[9],9
Dejounte Murray,NOP,5,Guard,0,[5],5
Hunter Dickinson,NOP,4,Center,0,[4],4
Jordan Poole,NOP,3,Guard,0,[3],3
Herbert Jones,NOP,2,Forward,0,[2],2
Zion Williamson,NOP,1,Forward,0,[1],1
Bones Hyland,MIN,8,Guard,0,[8],8
Anthony Edwards,MIN,5,Guard,0,[5],5
Jaden McDaniels,MIN,3,Forward,0,[3],3
Kawhi Leonard,LAC,2,Forward,0,[2],2
Jae'Sean Tate,HOU,8,Forward,0,[8],8
Bradley Beal,LAC,0,Guard,0,[0],0
Jeremiah Fears,NOP,0,Guard,0,[0],0
Gary Trent Jr.,MIL,5,Guard,0,[5],5
Adou Thiero,LAL,1,Guard,0,[1],1
Derrick Jones Jr.,LAC,5,Forward,0,[5],5
Chris Paul,LAC,3,Guard,0,[3],3
James Harden,LAC,1,Guard,0,[1],1
Kobe Sanders,LAC,4,Guard,0,[4],4
Fred VanVleet,HOU,5,Guard,0,[5],5
Sion James,CHA,4,Guard,0,[4],4
Ziaire Williams,BKN,1,Forward,0,[1],1
Dyson Daniels,ATL,5,Guard,0,[5],5
Alex Caruso,OKC,9,Guard,0,[9],9
Jalen Williams,OKC,8,Guard-Forward,0,[8],8
Chet Holmgren,OKC,7,Center-Forward,0,[7],7
Jaylin Williams,OKC,6,Forward,0,[6],6
Luguentz Dort,OKC,5,Guard,0,[5],5
Chris Youngblood,OKC,3,Guard,0,[3],3
Shai Gilgeous-Alexander,OKC,2,Guard,0,[2],2
Kevin McCullar Jr.,NYK,9,Guard,0,[9],9
OG Anunoby,NYK,8,Forward-Guard,0,[8],8
Jonathan Isaac,ORL,1,Forward,0,[1],1
Anthony Black,ORL,0,Guard,0,[0],0
Bobby Portis,MIL,9,Forward,0,[9],9
Jevon Carter,CHI,5,Guard,0,[5],5
T.J. McConnell,IND,9,Guard,0,[9],9
Haywood Highsmith,BKN,7,Forward,0,[7],7
Kam Jones,IND,7,Guard,0,[7],7
Taelon Peter,IND,4,Guard,0,[4],4
Jalen Johnson,ATL,1,Forward,0,[1],1
Jarace Walker,IND,5,Forward,0,[5],5
Nikola Jović,MIA,5,Forward,0,[5],5
Desmond Bane,ORL,3,Guard,0,[3],3
Kevin Porter Jr.,MIL,7,Guard-Forward,0,[7],7
Tyus Jones,ORL,2,Guard,0,[2],2
Derrick White,BOS,9,Guard,0,[9],9
Josh Giddey,CHI,3,Guard,0,[3],3
LaMelo Ball,CHA,1,Guard,0,[1],1
Keaton Wallace,ATL,2,Guard,0,[2],2
Andrew Nembhard,IND,2,Guard-Forward,0,[2],2
Obi Toppin,IND,1,Forward,0,[1],1
Bennedict Mathurin,IND,0,Guard-Forward,0,[0],0
Jarred Vanderbilt,LAL,2,Forward,0,[2],2
Dalton Knecht,LAL,4,Forward,0,[4],4
Deandre Ayton,LAL,5,Center,0,[5],5
Jaren Jackson Jr.,MEM,8,Forward-Center,0,[8],8
Jericho Sims,MIL,0,Center,0,[0],0
Pelle Larsson,MIA,9,Guard,0,[9],9
Kel'el Ware,MIA,7,Center,0,[7],7
Nikola Vučević,CHI,9,Center,0,[9],9
Thomas Bryant,CLE,3,Center-Forward,0,[3],3
Simone Fontecchio,MIA,0,Forward,0,[0],0
Santi Aldama,MEM,7,Forward-Center,0,[7],7
Gabe Vincent,LAL,7,Guard,0,[7],7
Vince Williams Jr.,MEM,5,Guard,0,[5],5
Kentavious Caldwell-Pope,MEM,3,Guard,0,[3],3
Ty Jerome,MEM,2,Guard-Forward,0,[2],2
Scotty Pippen Jr.,MEM,1,Guard,0,[1],1
Jaylen Wells,MEM,0,Forward,0,[0],0
Bronny James,LAL,9,Guard,0,[9],9
Terry Rozier,MIA,2,Guard,0,[2],2
